,Rating
NICK THOMPSON,1673.917133830785
KONTIDES PAVLOS,1738.0970504352133
CLEMENTE SEGUEL LACAMARA,1587.9922508052507
TONCI STIPANOVIC,1738.8320102555595
TOM BURTON,1671.5047416025106
PHILIPP BUHL,1741.0638452884416
ANDY MALONEY,1572.7075055349487
CHRISTOPHER BARNARD,1614.1281477512653
MICHAEL BECKETT,1720.2716575925906
THOMAS SAUNDERS,1696.0860822159138
JEAN-BAPTISTE BERNAZ,1699.4748582512311
MATT WEARN,1705.8248047978088
HANSON ELLIOT,1712.3625481600982
STEFANO PESCHIERA,1674.2745467919624
FRANCESCO MARRAI,1586.665925062933
BRUNO FONTES,1615.1002250374847
FILIP JURISIC,1700.2602506312553
SAM MEECH,1651.0763539640748
JESPER STALHEIM,1620.306902861059
ROBERT SCHEIDT,1596.3069620376668
LYNCH FINN,1672.4781125877844
GEORGE GAUTREY,1632.0271115035289
RUTGER VAN SCHAARDENBURG,1582.9869488568856
TAPPER KAARLE,1620.7808733583317
NICHOLAS HEINER,1568.3518196650066
MATHEUS DELLAGNELO,1517.6960723189677
FRANCISCO RENNA,1538.7149843385262
FRANCISCO GUARAGNA RIGONAT,1616.2480329642513
JONATAN VADNAI,1661.3758654034045
MATHIAS MOLLATT,1576.8861227067594
JULIO ALSOGARAY,1586.98494769519
SERGEY KOMISSAROV,1616.4361628166853
PHILIPP ANDREAS GROCHTMANN,1535.0254205477904
JOEL RODRIGUEZ,1661.20638843946
JUAN IGNACIO MAEGLI,1642.3280700419093
GALLO MARCO,1551.6376841172669
MATIAS DYCK,1522.2810057754582
SAM WHALEY,1617.3361840991179
NIK AARON WILLIM,1636.3178311552588
WANNES VAN LAER,1633.3358923383148
CHARLIE BUCKINGHAM,1653.9976891915105
ZAC LITTLEWOOD,1540.3841876516726
LORENZO BRANDO CHIAVARINI,1709.9122863801726
JOAO PEDRO OLIVEIRA,1549.1181323183719
TOMASGAARD HERMANN,1687.8966195977875
JUAN PABLO CARDOZO,1539.9999742672999
ETHAN MCAULLAY,1588.4621515491524
ELLIOTT LUKE,1655.4912292064146
FACUNDO MARIO OLEZZA BAZAN,1553.8009401201089
JOAQUIN BLANCO,1671.1091010018529
JUAN IGNACIO BIAVA,1511.6767146914838
WILLIAM DE SMET,1628.151645353925
KRISTIAN RUTH,1558.9025951956244
BOS DUKO,1649.7914674327008
RENZO SANGUINETI,1530.7101178693053
JEEMIN HA,1615.3970292761205
FELIPE FRAQUELLI,1516.707617546066
JEREMY O'CONNELL,1549.5018698132167
DANIEL WHITELEY,1588.076191136846
STEFANO VIALE,1515.410197269717
AGUSTIN VIDAL,1477.5647315293834
KACPER ZIEMINSKI,1553.10563144767
NIELS BROEKHUIZEN,1616.0651001793092
RAMMO KARL-MARTIN,1597.5892870395387
GIOVANNI COCCOLUTO,1620.44349712828
PEDRO MADUREIRA,1502.9917175512592
CHEVRIER LUC,1513.6530603120932
MATHIAS REIMER,1510.108951985754
FINN ALEXANDER,1654.531374341757
JACK WETHERELL,1586.1433451868916
RYAN LO,1624.1211381786975
ANDRE PASSOW,1510.6960723189677
ELIOT MERCERON,1588.2021554387882
GUSTAVO CORREA NASCIMENTO,1500.8025217709683
BENGTSON EMIL,1599.703151830868
ANTONY MUNOS,1545.6313025021775
RYAN PALK,1527.3524977412344
ERICK CARPES,1505.7943617503074
PHILIP WALKENBACH,1531.3175932867807
MICHAEL BULLOT,1526.2141754805102
FELIPE RONDINA,1508.6960723189677
ANDRES CLOOS,1464.9190226356516
GEORGIOS PAPADAKOS,1528.3258848044263
COLIN CHENG,1542.933539648667
MITCHELL KENNEDY,1590.9287739314764
GABRIEL MEDEIROS KONIGSFELD,1507.6960723189677
JUST VAN AANHOLT,1507.1538836837783
CITAK YIGIT YALCIN,1589.1752029477457
ALESSIO SPADONI,1588.9498207145853
RICARDO SEGUEL LACAMARA,1466.4024602070424
DUKIC MILIVOJ,1641.9638694680548
EDUARDO MARQUES,1633.4877275550841
MARCO BENINI,1526.6078756208258
ANDREW MCKENZIE,1569.7009284770743
JOSE AFONSO HACKEROTT,1505.6960723189677
MAURO PRETTO,1510.1569282337623
ABAY BERKAY,1555.5426008941893
GUSTAVO LIMA,1527.6687950364642
DIMITRIS PAPADIMITRIOU,1549.533745024181
NICK GRAEL,1504.6960723189677
BENJAMIN VADNAI,1639.513508066968
ENRIQUE ARATHOON,1608.576863363922
ANDREW LEWIS,1489.2824744292298
MATIAS PONCELL,1503.6960723189677
VIKTOR TEPLY,1593.6159879418487
MATEO MALDONADO,1455.9609993715842
GEISON MENDES,1502.6960723189677
MATIAS KIBURG,1508.4527353748033
