Rank,Competidor,Rating
1,NICK THOMPSON,0.15144
2,KONTIDES PAVLOS,0.16124
3,CLEMENTE SEGUEL LACAMARA,0.16124
4,TONCI STIPANOVIC,0.08772
5,TOM BURTON,0.01509
6,PHILIPP BUHL,0.01509
7,ANDY MALONEY,0.01148
8,CHRISTOPHER BARNARD,0.01148
9,MICHAEL BECKETT,0.18771
10,THOMAS SAUNDERS,0.18771
11,JEAN-BAPTISTE BERNAZ,0.07835
12,MATT WEARN,0.07835
13,HANSON ELLIOT,0.01582
14,STEFANO PESCHIERA,0.01582
15,FRANCESCO MARRAI,0.10456
16,BRUNO FONTES,0.00114
17,FILIP JURISIC,0.00114
18,SAM MEECH,0.03863
19,JESPER STALHEIM,0.03863
20,ROBERT SCHEIDT,0.0131
21,LYNCH FINN,0.0131
22,GEORGE GAUTREY,0.09139
23,RUTGER VAN SCHAARDENBURG,0.09139
24,TAPPER KAARLE,0.04713
25,NICHOLAS HEINER,0.04713
26,MATHEUS DELLAGNELO,0.10321
27,FRANCISCO RENNA,0.10321
28,FRANCISCO GUARAGNA RIGONAT,0.14251
29,JONATAN VADNAI,0.14251
30,MATHIAS MOLLATT,0.07789
31,JULIO ALSOGARAY,0.07789
32,SERGEY KOMISSAROV,0.03996
33,PHILIPP ANDREAS GROCHTMANN,0.03996
34,JOEL RODRIGUEZ,0.00138
35,JUAN IGNACIO MAEGLI,0.00138
36,GALLO MARCO,0.06574
37,MATIAS DYCK,0.06574
38,SAM WHALEY,0.01993
39,NIK AARON WILLIM,0.01993
40,WANNES VAN LAER,0.01166
41,CHARLIE BUCKINGHAM,0.01166
42,ZAC LITTLEWOOD,0.07227
43,LORENZO BRANDO CHIAVARINI,0.07227
44,JOAO PEDRO OLIVEIRA,0.01803
45,TOMASGAARD HERMANN,0.01803
46,JUAN PABLO CARDOZO,0.06606
47,ETHAN MCAULLAY,0.06606
48,ELLIOTT LUKE,0.02931
49,FACUNDO MARIO OLEZZA BAZAN,0.02931
50,JOAQUIN BLANCO,0.0498
51,JUAN IGNACIO BIAVA,0.0498
52,WILLIAM DE SMET,0.02345
53,KRISTIAN RUTH,0.02345
54,BOS DUKO,0.02487
55,RENZO SANGUINETI,0.02487
56,JEEMIN HA,0.03902
57,FELIPE FRAQUELLI,0.03902
58,JEREMY O'CONNELL,0.00755
59,DANIEL WHITELEY,0.00755
60,STEFANO VIALE,0.03588
